sample_id,kingdom,phylum,class,order,family,genus,species,clean_relative_abundance
UC_196_01,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium_adolescentis,0.7652192660854
UC_196_01,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium_breve,63.45692966642864
UC_196_01,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium_dentium,0.018464737155
UC_196_01,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium_longum,9.65324717879095
UC_196_01,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium_pseudocatenulatum,17.5678845921908
UC_196_01,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lacticaseibacillus,s__Lacticaseibacillus_rhamnosus,0.0012167514657052193
UC_196_01,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Limosilactobacillus,s__Limosilactobacillus_fermentum,0.29134793648557
UC_196_01,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Micrococcaceae,g__Rothia,s__Rothia_mucilaginosa,0.11057495776057001
UC_196_01,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_subflava,0.11425723193309999
UC_196_01,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus_sputorum,0.03188102305317
UC_196_01,k__Eukaryota,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetaceae,g__Saccharomyces,s__Saccharomyces_cerevisiae,0.02682189853787
UC_196_01,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_anginosus,0.009659298916344067
UC_196_01,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_gordonii,0.064071570602
UC_196_01,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_mitis,0.04418729007034
UC_196_01,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_mutans,0.024975424822369998
UC_196_01,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_parasanguinis,0.55336575869256
UC_196_01,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_salivarius,1.61080816845817
UC_196_01,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_thermophilus,0.060015732382980004
UC_196_01,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Megasphaera,s__Megasphaera_massiliensis,4.97713254372567
UC_196_01,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,s__Veillonella_atypica,0.0075353204805954825
UC_196_01,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,s__Veillonella_dispar,0.47793784107731
UC_196_01,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,s__Veillonella_parvula,0.13100357447426
LD_248_06,k__Eukaryota,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Debaryomycetaceae,g__Candida,s__Candida_albicans,0.03949613778883
LD_248_06,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__Enterococcus_faecium,99.91547763671281
LD_248_06,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lacticaseibacillus,s__Lacticaseibacillus_rhamnosus,0.04502622549833
LD_362_04,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_oris,2.0642831879532397
LD_362_04,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_sp_ph3,12.722154790668169
LD_362_04,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Schaalia,s__Schaalia_odontolytica,9.07441488865309
LD_362_04,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Schaalia,s__Schaalia_SGB17157,9.0484369190245
LD_362_04,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Granulicatella,s__Granulicatella_adiacens,8.41118679242578
LD_362_04,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Granulicatella,s__Granulicatella_SGB8255,13.46567178064062
