metabolomics_id,hmmf_panel,compound,value
LD_279_05,PFBBr,4-methylvalerate,0.0
LD_279_05,PFBBr,5-aminovalerate,12.99581
LD_279_05,PFBBr,acetate,3.63669
LD_279_05,PFBBr,alanine,1.64513
LD_279_05,PFBBr,aspartate,0.10992
LD_279_05,PFBBr,benzoate,0.09331
LD_279_05,PFBBr,butyrate,4.08624
LD_279_05,PFBBr,catechol,0.0
LD_279_05,PFBBr,crotonate,0.0
LD_279_05,PFBBr,cysteine,0.06539
LD_279_05,PFBBr,desaminotyrosine,0.01475
LD_279_05,PFBBr,dopamine,0.0
LD_279_05,PFBBr,glutamate,0.14045
LD_279_05,PFBBr,glycine,7.8872
LD_279_05,PFBBr,hexanoate,0.03925
LD_279_05,PFBBr,histamine,0.0
LD_279_05,PFBBr,hydrocinnamate,0.0
LD_279_05,PFBBr,indole-3-acetate,0.0
LD_279_05,PFBBr,indole-3-carboxaldehyde,0.0
LD_279_05,PFBBr,indole-3-propionate,0.0
LD_279_05,PFBBr,isobutyrate,0.68476
LD_279_05,PFBBr,isoleucine,5.94461
LD_279_05,PFBBr,isovaleric acid,0.85763
LD_279_05,PFBBr,itaconate,0.0
LD_279_05,PFBBr,leucine,5.37597
LD_279_05,PFBBr,lysine,0.23454
LD_279_05,PFBBr,methionine,0.13511
LD_279_05,PFBBr,palmitate,5.13065
LD_279_05,PFBBr,p-cresol,0.45369
LD_279_05,PFBBr,phenol,0.00515
LD_279_05,PFBBr,phenylacetate,0.08715
LD_279_05,PFBBr,phenylalanine,0.56816
LD_279_05,PFBBr,proline,1.06394
LD_279_05,PFBBr,propionate,3.58472
LD_279_05,PFBBr,serine,0.0
LD_279_05,PFBBr,succinate,0.03804
LD_279_05,PFBBr,synephrine,0.0
LD_279_05,PFBBr,threonine,0.0
LD_279_05,PFBBr,toluate,0.0
LD_279_05,PFBBr,trans-indole-3-acrylate,0.0
LD_279_05,PFBBr,tryptamine,0.0
LD_279_05,PFBBr,tryptophan,0.00323
LD_279_05,PFBBr,tyramine,0.00758
