metabolomics_id,hmmf_panel,compound,value
LD_194_05,PFBBr,methionine,1.89765
LD_194_05,PFBBr,palmitate,7.94023
LD_194_05,PFBBr,p-cresol,0.04355
LD_194_05,PFBBr,phenol,0.01856
LD_194_05,PFBBr,phenylacetate,0.01856
LD_194_05,PFBBr,phenylalanine,17.92528
LD_194_05,PFBBr,proline,27.15928
LD_194_05,PFBBr,propionate,0.03707
LD_194_05,PFBBr,serine,0.01856
LD_194_05,PFBBr,succinate,0.02509
LD_194_05,PFBBr,synephrine,0.01856
LD_194_05,PFBBr,threonine,0.08519
LD_194_05,PFBBr,toluate,0.01856
LD_194_05,PFBBr,trans-indole-3-acrylate,0.01856
LD_194_05,PFBBr,tryptamine,0.01856
LD_194_05,PFBBr,tryptophan,0.14947
LD_194_05,PFBBr,tyramine,0.01856
LD_194_05,PFBBr,tyrosine,0.01856
LD_194_05,PFBBr,valerate,0.04635
LD_194_05,PFBBr,valine,41.03674
LD_194_05,PFBBr,vanillin,0.01856
LD_202_04,PFBBr,2-methylbutyrate,0.03628
LD_202_04,PFBBr,3-aminoisobutyrate,0.03628
LD_202_04,PFBBr,4-methylvalerate,0.03628
LD_202_04,PFBBr,5-aminovalerate,0.03628
LD_202_04,PFBBr,acetate,0.57701
LD_202_04,PFBBr,alanine,9.17415
LD_202_04,PFBBr,aspartate,0.55701
LD_202_04,PFBBr,benzoate,1.12241
LD_202_04,PFBBr,butyrate,0.15535
LD_202_04,PFBBr,catechol,0.03628
LD_202_04,PFBBr,crotonate,0.03628
LD_202_04,PFBBr,cysteine,0.54617
LD_202_04,PFBBr,desaminotyrosine,0.03628
LD_202_04,PFBBr,dopamine,0.03628
LD_202_04,PFBBr,glutamate,0.40112
LD_202_04,PFBBr,glycine,49.26311
LD_202_04,PFBBr,hexanoate,0.20426
LD_202_04,PFBBr,histamine,0.03628
LD_202_04,PFBBr,hydrocinnamate,0.03628
LD_202_04,PFBBr,indole-3-acetate,0.03628
LD_202_04,PFBBr,indole-3-carboxaldehyde,0.03628
LD_202_04,PFBBr,indole-3-propionate,0.03628
LD_202_04,PFBBr,isobutyrate,0.03628
LD_202_04,PFBBr,isoleucine,29.57886
LD_202_04,PFBBr,isovaleric acid,0.03628
LD_202_04,PFBBr,itaconate,0.03628
LD_202_04,PFBBr,leucine,59.96455
LD_202_04,PFBBr,lysine,1.27827
LD_202_04,PFBBr,methionine,1.06364
LD_202_04,PFBBr,palmitate,8.39226
LD_202_04,PFBBr,p-cresol,0.03628
LD_202_04,PFBBr,phenol,0.03628
LD_202_04,PFBBr,phenylacetate,0.03628
LD_202_04,PFBBr,phenylalanine,8.97787
LD_202_04,PFBBr,proline,21.24083
LD_202_04,PFBBr,propionate,0.04735
LD_202_04,PFBBr,serine,0.03628
